序号,弹幕内容
1,3.海猫喜欢猫
2,不杀博士的动物朋友，我哭死
3,意思是小特发现了普做的手脚，然后把博士解放出来了？
4,原来博士是热爱生命的惊世巨人口牙！！
5,普不会重新搓一个依照她理念的ama-11吧
6,凯尔希：孩子们等我异格
7,简而言之普觉得我家猫对我哈气了，所以我把它关卧室是正常的
8,和思想钢印完全不一样，有相似之处，但二者是不同的
9,修好它，不是杀，老猫违背老普的初衷，调教一下
10,不 这是对共有物的无权处分
11,希尔达还有种耶稣降世，代行神迹的感觉。结合她刚出场一直说的神和教廷，后续可能还有揭示前文明并非神，而也是人，打破普的神性的作用在。
12,太后？现在是侍女小猫了
13,所以之前对于普的好印象也不一定全是真的，可能修改了
14,博士和普瑞赛斯的造物？懂了，一家三口（）
15,很简单的道理，因为不想跟博士彻底闹掰
16,博士和普的区别在于对待生命的态度，泰拉也许不成熟，但也不是造物主的玩物
17,但是复活后会不会格式化了
18,异格m3:凯尔希发射器
19,大伙别忘了还在天上的克里斯腾啊 
20,智慧与理解（指讲谜语）
21,还在下棋！
22,预言家也消失了
23,黑蛇好像还在乌萨斯当老师
24,罗德岛闹普瑞塞斯了
25,这就是预言家跟小特说的阳谋
26,水月肉鸽那个主教boss（
27,静置立场（确信 奥特拉玛蓝）
28,凱爾希的命名由來=方解石
29,我并不觉得希尔达会是敌人，真正的敌人应该是那些窥探希尔达力量的人
30,光荣进化，源石版
31,拿剑的近卫
32,魔王兔剧情！肉鸽里的阿米娅类似的遭遇
33,还有星球背面的影月发射器巨构
34,彼岸双生（不是）
35,牢普：这从不是我想要的！
36,维克托传教
37,除咒之笼
38,前文明被斧头优化了吗？
39,自己养的猫对自己哈气了，罚去小黑屋反省
40,人类补完计划
41,选了煌
42,事代理兔战争（确信）
43,冯诺依曼机但是超级plus版
44,普：哼，你找动物朋友，我也找动物朋友。
45,小特当时没考虑那么多，直到预言家完全消散之前他才告诉小特自己陷入到了阳谋之中
46,爷手撕过盖提亚
47,思想钢印？
48,致敬传奇删档王特雷西娅
49,失控x 回到原主人手中√
50,没有人的文明 毫无意义
51,还真是，博士说话的文案是“她”，但普说的是“它”
52,偷偷玩新月同行被我发现了吧博士
53,其实也没有全部，但是是个泰拉人（不包括巨兽）体内都有源石颗粒
54,掰过来？拐过来！
55,罗德岛一直有行动，比如pv4后半段，比如m3档案的蒲公英计划
56,懂了，异格成刺客猞猁
57,陆是学妹哦，深蓝之树计划貌似是博士除了源石计划以外，参手最多的计划
58,从理论上来讲，只要普想，就跟灭霸打响指一样
59,这片大地（指正
60,了得到
61,智慧与理解（指握力计）
62,祖传开头
63,伐伐伐伐伐木工
64,不是偏离，而是本身就有两个方向，而普和博都没有辩论出那个更好
65,自家的猫哈气了，主人自然要调教一下，好比把猫从书房扔到客厅，影响工作了
66,这样的话，要洗普也可以设定第二个恶使用钢钉
67,凯尔希这下十有八九要在这个大章节里开异格了吧
68,斯卡蒂体内有源石的，只不过阿戈尔的浓度很低，几乎为零但不代表没有
